2025-08-22 19:51:34 | streamlit_app | INFO | 🚀 Starting RAG Indexing Comparison App
2025-08-22 19:51:34 | streamlit_app | INFO | 📄 1 files uploaded: ['Test Confluence and Jira Tickets.docx']
2025-08-22 19:51:34 | streamlit_app | INFO | 🚀 Run comparison button clicked for query: 'What are the Confluence articles we have?...'
2025-08-22 19:51:34 | streamlit_app | INFO | 🆔 New comparison started with run_id: 7aaec6c5
2025-08-22 19:51:34 | streamlit_app | INFO | 🔧 Executing 4 configurations: ['openai-1536d_fixed-500c-50o_vector', 'openai-1536d_fixed-500c-50o_hybrid_a0.7', 'cohere-1536d_fixed-500c-50o_vector', 'cohere-1536d_fixed-500c-50o_hybrid_a0.7']
2025-08-22 19:51:34 | streamlit_app | INFO | 🔄 Initializing RAG pipeline...
2025-08-22 19:51:34 | rag_pipeline | INFO | 🔧 Initializing RAG Pipeline components...
2025-08-22 19:51:36 | streamlit_app | INFO | ✅ Pipeline initialized successfully
2025-08-22 19:51:36 | streamlit_app | INFO | ⚡ Starting execution for config: openai-1536d_fixed-500c-50o_vector
2025-08-22 19:51:36 | rag_pipeline | INFO | 📋 Executing config: openai-1536d_fixed-500c-50o_vector (run_id: 7aaec6c5)
2025-08-22 19:51:36 | rag_pipeline | INFO | 🔪 Chunking completed: 49 chunks in 0.00s
2025-08-22 19:51:38 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-08-22 19:51:38 | rag_pipeline | INFO | 🔢 Embeddings completed: 49 chunks in 2.39s
2025-08-22 19:51:39 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-08-22 19:51:40 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-08-22 19:51:40 | streamlit_app | INFO | ✅ Config openai-1536d_fixed-500c-50o_vector completed in 4.17s
2025-08-22 19:51:41 | streamlit_app | INFO | ⚡ Starting execution for config: openai-1536d_fixed-500c-50o_hybrid_a0.7
2025-08-22 19:51:41 | rag_pipeline | INFO | 📋 Executing config: openai-1536d_fixed-500c-50o_hybrid_a0.7 (run_id: 7aaec6c5)
2025-08-22 19:51:41 | rag_pipeline | INFO | 🔪 Chunking completed: 49 chunks in 0.00s
2025-08-22 19:51:42 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-08-22 19:51:43 | rag_pipeline | INFO | 🔢 Embeddings completed: 49 chunks in 1.78s
2025-08-22 19:51:44 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-08-22 19:51:45 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-08-22 19:51:45 | streamlit_app | INFO | ✅ Config openai-1536d_fixed-500c-50o_hybrid_a0.7 completed in 4.31s
2025-08-22 19:51:46 | streamlit_app | INFO | ⚡ Starting execution for config: cohere-1536d_fixed-500c-50o_vector
2025-08-22 19:51:46 | rag_pipeline | INFO | 📋 Executing config: cohere-1536d_fixed-500c-50o_vector (run_id: 7aaec6c5)
2025-08-22 19:51:46 | rag_pipeline | INFO | 🔪 Chunking completed: 49 chunks in 0.00s
2025-08-22 19:51:46 | httpx | INFO | HTTP Request: POST https://api.cohere.com/v2/embed "HTTP/1.1 200 OK"
2025-08-22 19:51:47 | rag_pipeline | INFO | 🔢 Embeddings completed: 49 chunks in 1.78s
2025-08-22 19:51:48 | httpx | INFO | HTTP Request: POST https://api.cohere.com/v2/embed "HTTP/1.1 200 OK"
2025-08-22 19:51:50 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-08-22 19:51:50 | streamlit_app | INFO | ✅ Config cohere-1536d_fixed-500c-50o_vector completed in 4.12s
2025-08-22 19:51:50 | streamlit_app | INFO | ⚡ Starting execution for config: cohere-1536d_fixed-500c-50o_hybrid_a0.7
2025-08-22 19:51:50 | rag_pipeline | INFO | 📋 Executing config: cohere-1536d_fixed-500c-50o_hybrid_a0.7 (run_id: 7aaec6c5)
2025-08-22 19:51:50 | rag_pipeline | INFO | 🔪 Chunking completed: 49 chunks in 0.00s
2025-08-22 19:51:50 | httpx | INFO | HTTP Request: POST https://api.cohere.com/v2/embed "HTTP/1.1 200 OK"
2025-08-22 19:51:51 | rag_pipeline | INFO | 🔢 Embeddings completed: 49 chunks in 1.21s
2025-08-22 19:51:51 | httpx | INFO | HTTP Request: POST https://api.cohere.com/v2/embed "HTTP/1.1 200 OK"
2025-08-22 19:51:54 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-08-22 19:51:54 | streamlit_app | INFO | ✅ Config cohere-1536d_fixed-500c-50o_hybrid_a0.7 completed in 4.33s
