2025-08-25 13:47:02 | streamlit_app | INFO | 🚀 Starting RAG Indexing Comparison App
2025-08-25 13:47:02 | streamlit_app | INFO | 📄 1 files uploaded: ['colpali_rag_test_table.pdf']
2025-08-25 13:47:02 | streamlit_app | INFO | 🚀 Starting RAG Indexing Comparison App
2025-08-25 13:47:02 | streamlit_app | INFO | 📄 1 files uploaded: ['colpali_rag_test_table.pdf']
2025-08-25 13:47:02 | streamlit_app | INFO | 🚀 Run comparison button clicked for query: 'Analyse the sales of tablet ultra in EMEA....'
2025-08-25 13:47:02 | streamlit_app | INFO | 🆔 New comparison started with run_id: 689b3fee
2025-08-25 13:47:02 | streamlit_app | INFO | 🔧 Executing 4 configurations: ['openai-1536d_fixed-500c-50o_vector', 'openai-1536d_fixed-500c-50o_hybrid_a0.7', 'cohere-1536d_fixed-500c-50o_vector', 'cohere-1536d_fixed-500c-50o_hybrid_a0.7']
2025-08-25 13:47:02 | streamlit_app | INFO | 🔄 Initializing RAG pipeline...
2025-08-25 13:47:02 | rag_pipeline | INFO | 🔧 Initializing RAG Pipeline components...
2025-08-25 13:47:04 | streamlit_app | INFO | ✅ Pipeline initialized successfully
2025-08-25 13:47:04 | streamlit_app | INFO | ⚡ Starting execution for config: openai-1536d_fixed-500c-50o_vector
2025-08-25 13:47:04 | rag_pipeline | INFO | 📋 Executing config: openai-1536d_fixed-500c-50o_vector (run_id: 689b3fee)
2025-08-25 13:47:04 | rag_pipeline | INFO | 🔪 Chunking completed: 3 chunks in 0.00s
2025-08-25 13:47:05 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-08-25 13:47:05 | rag_pipeline | INFO | 🔢 Embeddings completed: 3 chunks in 1.04s
2025-08-25 13:47:06 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-08-25 13:47:08 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-08-25 13:47:08 | streamlit_app | INFO | ✅ Config openai-1536d_fixed-500c-50o_vector completed in 4.09s
2025-08-25 13:47:09 | streamlit_app | INFO | ⚡ Starting execution for config: openai-1536d_fixed-500c-50o_hybrid_a0.7
2025-08-25 13:47:09 | rag_pipeline | INFO | 📋 Executing config: openai-1536d_fixed-500c-50o_hybrid_a0.7 (run_id: 689b3fee)
2025-08-25 13:47:09 | rag_pipeline | INFO | 🔪 Chunking completed: 3 chunks in 0.00s
2025-08-25 13:47:09 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-08-25 13:47:10 | rag_pipeline | INFO | 🔢 Embeddings completed: 3 chunks in 0.65s
2025-08-25 13:47:10 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-08-25 13:47:13 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-08-25 13:47:13 | streamlit_app | INFO | ✅ Config openai-1536d_fixed-500c-50o_hybrid_a0.7 completed in 4.32s
2025-08-25 13:47:14 | streamlit_app | INFO | ⚡ Starting execution for config: cohere-1536d_fixed-500c-50o_vector
2025-08-25 13:47:14 | rag_pipeline | INFO | 📋 Executing config: cohere-1536d_fixed-500c-50o_vector (run_id: 689b3fee)
2025-08-25 13:47:14 | rag_pipeline | INFO | 🔪 Chunking completed: 3 chunks in 0.00s
2025-08-25 13:47:14 | httpx | INFO | HTTP Request: POST https://api.cohere.com/v2/embed "HTTP/1.1 200 OK"
2025-08-25 13:47:14 | rag_pipeline | INFO | 🔢 Embeddings completed: 3 chunks in 0.55s
2025-08-25 13:47:14 | httpx | INFO | HTTP Request: POST https://api.cohere.com/v2/embed "HTTP/1.1 200 OK"
2025-08-25 13:47:17 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-08-25 13:47:17 | streamlit_app | INFO | ✅ Config cohere-1536d_fixed-500c-50o_vector completed in 3.04s
2025-08-25 13:47:17 | streamlit_app | INFO | ⚡ Starting execution for config: cohere-1536d_fixed-500c-50o_hybrid_a0.7
2025-08-25 13:47:17 | rag_pipeline | INFO | 📋 Executing config: cohere-1536d_fixed-500c-50o_hybrid_a0.7 (run_id: 689b3fee)
2025-08-25 13:47:17 | rag_pipeline | INFO | 🔪 Chunking completed: 3 chunks in 0.00s
2025-08-25 13:47:17 | httpx | INFO | HTTP Request: POST https://api.cohere.com/v2/embed "HTTP/1.1 200 OK"
2025-08-25 13:47:17 | rag_pipeline | INFO | 🔢 Embeddings completed: 3 chunks in 0.36s
2025-08-25 13:47:18 | httpx | INFO | HTTP Request: POST https://api.cohere.com/v2/embed "HTTP/1.1 200 OK"
2025-08-25 13:47:21 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-08-25 13:47:21 | streamlit_app | INFO | ✅ Config cohere-1536d_fixed-500c-50o_hybrid_a0.7 completed in 3.57s
