2025-08-25 14:10:52 | streamlit_app | INFO | 🚀 Starting RAG Indexing Comparison App
2025-08-25 14:10:52 | streamlit_app | INFO | 📄 1 files uploaded: ['colpali_rag_test_table.pdf']
2025-08-25 14:10:52 | streamlit_app | INFO | 🚀 Starting RAG Indexing Comparison App
2025-08-25 14:10:52 | streamlit_app | INFO | 📄 1 files uploaded: ['colpali_rag_test_table.pdf']
2025-08-25 14:10:52 | streamlit_app | INFO | 🚀 Run comparison button clicked for query: 'Analyse the sales performance of tablet ultra in A...'
2025-08-25 14:10:52 | streamlit_app | INFO | 🆔 New comparison started with run_id: 3e320be3
2025-08-25 14:10:52 | streamlit_app | INFO | 🔧 Executing 4 configurations: ['openai-1536d_fixed-500c-50o_vector', 'openai-1536d_fixed-500c-50o_hybrid_a0.7', 'cohere-1536d_fixed-500c-50o_vector', 'cohere-1536d_fixed-500c-50o_hybrid_a0.7']
2025-08-25 14:10:52 | streamlit_app | INFO | 🔄 Initializing RAG pipeline...
2025-08-25 14:10:52 | rag_pipeline | INFO | 🔧 Initializing RAG Pipeline components...
