2025-08-22 15:59:50 | streamlit_app | INFO | 🚀 Starting RAG Indexing Comparison App
2025-08-22 15:59:50 | streamlit_app | INFO | 📄 1 files uploaded: ['Test Confluence and Jira Tickets.docx']
2025-08-22 15:59:50 | streamlit_app | INFO | 🚀 Run comparison button clicked for query: 'What are the Confluence articles we have?...'
2025-08-22 15:59:50 | streamlit_app | INFO | 🆔 New comparison started with run_id: b152b3fe
2025-08-22 15:59:50 | streamlit_app | INFO | 🔧 Executing 4 configurations: ['openai-1536d_fixed-500c-50o_vector', 'openai-1536d_fixed-500c-50o_hybrid_a0.7', 'cohere-1536d_fixed-500c-50o_vector', 'cohere-1536d_fixed-500c-50o_hybrid_a0.7']
2025-08-22 15:59:50 | streamlit_app | INFO | 🔄 Initializing RAG pipeline...
2025-08-22 15:59:50 | rag_pipeline | INFO | 🔧 Initializing RAG Pipeline components...
2025-08-22 15:59:51 | streamlit_app | INFO | ✅ Pipeline initialized successfully
2025-08-22 15:59:51 | streamlit_app | INFO | ⚡ Starting execution for config: openai-1536d_fixed-500c-50o_vector
2025-08-22 15:59:51 | rag_pipeline | INFO | 📋 Executing config: openai-1536d_fixed-500c-50o_vector (run_id: b152b3fe)
2025-08-22 15:59:51 | rag_pipeline | INFO | 🔪 Chunking completed: 49 chunks in 0.00s
2025-08-22 15:59:52 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-08-22 15:59:53 | rag_pipeline | INFO | 🔢 Embeddings completed: 49 chunks in 1.74s
2025-08-22 15:59:53 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-08-22 15:59:54 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-08-22 15:59:54 | streamlit_app | INFO | ✅ Config openai-1536d_fixed-500c-50o_vector completed in 3.19s
2025-08-22 15:59:55 | streamlit_app | INFO | ⚡ Starting execution for config: openai-1536d_fixed-500c-50o_hybrid_a0.7
2025-08-22 15:59:55 | rag_pipeline | INFO | 📋 Executing config: openai-1536d_fixed-500c-50o_hybrid_a0.7 (run_id: b152b3fe)
2025-08-22 15:59:55 | rag_pipeline | INFO | 🔪 Chunking completed: 49 chunks in 0.00s
2025-08-22 15:59:55 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-08-22 15:59:56 | rag_pipeline | INFO | 🔢 Embeddings completed: 49 chunks in 1.48s
2025-08-22 15:59:57 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-08-22 15:59:58 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-08-22 15:59:58 | streamlit_app | INFO | ✅ Config openai-1536d_fixed-500c-50o_hybrid_a0.7 completed in 2.90s
2025-08-22 15:59:58 | streamlit_app | INFO | ⚡ Starting execution for config: cohere-1536d_fixed-500c-50o_vector
2025-08-22 15:59:58 | rag_pipeline | INFO | 📋 Executing config: cohere-1536d_fixed-500c-50o_vector (run_id: b152b3fe)
2025-08-22 15:59:58 | rag_pipeline | INFO | 🔪 Chunking completed: 49 chunks in 0.00s
2025-08-22 15:59:59 | httpx | INFO | HTTP Request: POST https://api.cohere.com/v2/embed "HTTP/1.1 200 OK"
2025-08-22 16:00:00 | rag_pipeline | INFO | 🔢 Embeddings completed: 49 chunks in 1.85s
2025-08-22 16:00:00 | httpx | INFO | HTTP Request: POST https://api.cohere.com/v2/embed "HTTP/1.1 200 OK"
2025-08-22 16:00:01 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-08-22 16:00:01 | streamlit_app | INFO | ✅ Config cohere-1536d_fixed-500c-50o_vector completed in 3.24s
2025-08-22 16:00:01 | streamlit_app | INFO | ⚡ Starting execution for config: cohere-1536d_fixed-500c-50o_hybrid_a0.7
2025-08-22 16:00:01 | rag_pipeline | INFO | 📋 Executing config: cohere-1536d_fixed-500c-50o_hybrid_a0.7 (run_id: b152b3fe)
2025-08-22 16:00:01 | rag_pipeline | INFO | 🔪 Chunking completed: 49 chunks in 0.00s
2025-08-22 16:00:02 | httpx | INFO | HTTP Request: POST https://api.cohere.com/v2/embed "HTTP/1.1 200 OK"
2025-08-22 16:00:03 | rag_pipeline | INFO | 🔢 Embeddings completed: 49 chunks in 1.71s
2025-08-22 16:00:04 | httpx | INFO | HTTP Request: POST https://api.cohere.com/v2/embed "HTTP/1.1 200 OK"
2025-08-22 16:00:05 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-08-22 16:00:05 | streamlit_app | INFO | ✅ Config cohere-1536d_fixed-500c-50o_hybrid_a0.7 completed in 3.72s
