2025-08-22 12:46:36 | streamlit_app | INFO | 🚀 Starting RAG Indexing Comparison App
2025-08-22 12:46:36 | streamlit_app | INFO | 📄 1 files uploaded: ['Test Confluence and Jira Tickets.docx']
2025-08-22 12:46:36 | streamlit_app | INFO | 🚀 Run comparison button clicked for query: 'What are the Confluence articles we have?...'
2025-08-22 12:46:36 | streamlit_app | INFO | 🆔 New comparison started with run_id: baafb343
2025-08-22 12:46:36 | streamlit_app | INFO | 🔧 Executing 4 configurations: ['openai-1536d_fixed-500c-50o_vector', 'openai-1536d_fixed-500c-50o_hybrid_a0.7', 'cohere-1536d_fixed-500c-50o_vector', 'cohere-1536d_fixed-500c-50o_hybrid_a0.7']
2025-08-22 12:46:36 | streamlit_app | INFO | 🔄 Initializing RAG pipeline...
2025-08-22 12:46:36 | rag_pipeline | INFO | 🔧 Initializing RAG Pipeline components...
2025-08-22 12:46:38 | streamlit_app | INFO | ✅ Pipeline initialized successfully
2025-08-22 12:46:39 | streamlit_app | INFO | ⚡ Starting execution for config: openai-1536d_fixed-500c-50o_vector
2025-08-22 12:46:39 | rag_pipeline | INFO | 📋 Executing config: openai-1536d_fixed-500c-50o_vector (run_id: baafb343)
2025-08-22 12:46:39 | rag_pipeline | INFO | 🔪 Chunking completed: 49 chunks in 0.00s
2025-08-22 12:46:40 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-08-22 12:46:41 | rag_pipeline | INFO | 🔢 Embeddings completed: 49 chunks in 2.01s
2025-08-22 12:46:41 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-08-22 12:46:42 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-08-22 12:46:42 | streamlit_app | INFO | ✅ Config openai-1536d_fixed-500c-50o_vector completed in 3.73s
2025-08-22 12:46:43 | streamlit_app | INFO | ⚡ Starting execution for config: openai-1536d_fixed-500c-50o_hybrid_a0.7
2025-08-22 12:46:43 | rag_pipeline | INFO | 📋 Executing config: openai-1536d_fixed-500c-50o_hybrid_a0.7 (run_id: baafb343)
2025-08-22 12:46:43 | rag_pipeline | INFO | 🔪 Chunking completed: 49 chunks in 0.00s
2025-08-22 12:46:43 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-08-22 12:46:44 | rag_pipeline | INFO | 🔢 Embeddings completed: 49 chunks in 1.28s
2025-08-22 12:46:45 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-08-22 12:46:46 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-08-22 12:46:46 | streamlit_app | INFO | ✅ Config openai-1536d_fixed-500c-50o_hybrid_a0.7 completed in 2.80s
2025-08-22 12:46:46 | streamlit_app | INFO | ⚡ Starting execution for config: cohere-1536d_fixed-500c-50o_vector
2025-08-22 12:46:46 | rag_pipeline | INFO | 📋 Executing config: cohere-1536d_fixed-500c-50o_vector (run_id: baafb343)
2025-08-22 12:46:46 | rag_pipeline | INFO | 🔪 Chunking completed: 49 chunks in 0.00s
2025-08-22 12:46:47 | httpx | INFO | HTTP Request: POST https://api.cohere.com/v2/embed "HTTP/1.1 200 OK"
2025-08-22 12:46:48 | rag_pipeline | INFO | 🔢 Embeddings completed: 49 chunks in 1.53s
2025-08-22 12:46:48 | httpx | INFO | HTTP Request: POST https://api.cohere.com/v2/embed "HTTP/1.1 200 OK"
2025-08-22 12:46:50 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-08-22 12:46:50 | streamlit_app | INFO | ✅ Config cohere-1536d_fixed-500c-50o_vector completed in 3.56s
2025-08-22 12:46:50 | streamlit_app | INFO | ⚡ Starting execution for config: cohere-1536d_fixed-500c-50o_hybrid_a0.7
2025-08-22 12:46:50 | rag_pipeline | INFO | 📋 Executing config: cohere-1536d_fixed-500c-50o_hybrid_a0.7 (run_id: baafb343)
2025-08-22 12:46:50 | rag_pipeline | INFO | 🔪 Chunking completed: 49 chunks in 0.00s
2025-08-22 12:46:51 | httpx | INFO | HTTP Request: POST https://api.cohere.com/v2/embed "HTTP/1.1 200 OK"
2025-08-22 12:46:52 | rag_pipeline | INFO | 🔢 Embeddings completed: 49 chunks in 1.46s
2025-08-22 12:46:52 | httpx | INFO | HTTP Request: POST https://api.cohere.com/v2/embed "HTTP/1.1 200 OK"
2025-08-22 12:46:54 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-08-22 12:46:54 | streamlit_app | INFO | ✅ Config cohere-1536d_fixed-500c-50o_hybrid_a0.7 completed in 3.54s
